Event	ID	Name			Wwise Object Path	Notes
	180661997	Attack			\Default Work Unit\Attack	
	1287408361	Gunshot			\Default Work Unit\Gunshot	
	1357217968	Play_Squeak			\Default Work Unit\Play_Squeak	
	1866025847	Footstep			\Default Work Unit\Footstep	
	2548270042	Landing			\Default Work Unit\Landing	
	2917402406	Bloodsplosion			\Default Work Unit\Bloodsplosion	
	3713853302	Stop_Squeak			\Default Work Unit\Stop_Squeak	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	57193795	gunshot-05	C:\Users\frase\Documents\GameDev\RatWars\RatWars_WwiseProject\.cache\Windows\SFX\gunshots\gunshot-05_A2498ED0.wem		\Actor-Mixer Hierarchy\Default Work Unit\gunshot\gunshot-05		26376
	67667721	footstep-04	C:\Users\frase\Documents\GameDev\RatWars\RatWars_WwiseProject\.cache\Windows\SFX\steps\footstep-04_A2498ED0.wem		\Actor-Mixer Hierarchy\Default Work Unit\footstep\footstep-04		11616
	92168181	attack-04	C:\Users\frase\Documents\GameDev\RatWars\RatWars_WwiseProject\.cache\Windows\SFX\attack\attack-04_A2498ED0.wem		\Actor-Mixer Hierarchy\Default Work Unit\attack\attack-04		38508
	164029556	footstep-01	C:\Users\frase\Documents\GameDev\RatWars\RatWars_WwiseProject\.cache\Windows\SFX\steps\footstep-01_A2498ED0.wem		\Actor-Mixer Hierarchy\Default Work Unit\footstep\footstep-01		8520
	166118060	footstep-06	C:\Users\frase\Documents\GameDev\RatWars\RatWars_WwiseProject\.cache\Windows\SFX\steps\footstep-06_A2498ED0.wem		\Actor-Mixer Hierarchy\Default Work Unit\footstep\footstep-06		8520
	178613020	attack-01	C:\Users\frase\Documents\GameDev\RatWars\RatWars_WwiseProject\.cache\Windows\SFX\attack\attack-01_A2498ED0.wem		\Actor-Mixer Hierarchy\Default Work Unit\attack\attack-01		31524
	180040565	footstep-05	C:\Users\frase\Documents\GameDev\RatWars\RatWars_WwiseProject\.cache\Windows\SFX\steps\footstep-05_A2498ED0.wem		\Actor-Mixer Hierarchy\Default Work Unit\footstep\footstep-05		9888
	231814274	gunshot-04	C:\Users\frase\Documents\GameDev\RatWars\RatWars_WwiseProject\.cache\Windows\SFX\gunshots\gunshot-04_A2498ED0.wem		\Actor-Mixer Hierarchy\Default Work Unit\gunshot\gunshot-04		30120
	241150547	footstep-02	C:\Users\frase\Documents\GameDev\RatWars\RatWars_WwiseProject\.cache\Windows\SFX\steps\footstep-02_A2498ED0.wem		\Actor-Mixer Hierarchy\Default Work Unit\footstep\footstep-02		11616
	335479766	landing	C:\Users\frase\Documents\GameDev\RatWars\RatWars_WwiseProject\.cache\Windows\SFX\landing_A2498ED0.wem		\Actor-Mixer Hierarchy\Default Work Unit\landing		17664
	429989106	attack-03	C:\Users\frase\Documents\GameDev\RatWars\RatWars_WwiseProject\.cache\Windows\SFX\attack\attack-03_A2498ED0.wem		\Actor-Mixer Hierarchy\Default Work Unit\attack\attack-03		38508
	536064219	squeak	C:\Users\frase\Documents\GameDev\RatWars\RatWars_WwiseProject\.cache\Windows\SFX\Animals, Rodent, Mouse, Rat, Squeaks SND14864_56CEF360.wem		\Actor-Mixer Hierarchy\Default Work Unit\squeak		48618
	631797485	footstep-03	C:\Users\frase\Documents\GameDev\RatWars\RatWars_WwiseProject\.cache\Windows\SFX\steps\footstep-03_A2498ED0.wem		\Actor-Mixer Hierarchy\Default Work Unit\footstep\footstep-03		10752
	663937859	gunshot-03	C:\Users\frase\Documents\GameDev\RatWars\RatWars_WwiseProject\.cache\Windows\SFX\gunshots\gunshot-03_A2498ED0.wem		\Actor-Mixer Hierarchy\Default Work Unit\gunshot\gunshot-03		32424
	675586947	attack-02	C:\Users\frase\Documents\GameDev\RatWars\RatWars_WwiseProject\.cache\Windows\SFX\attack\attack-02_A2498ED0.wem		\Actor-Mixer Hierarchy\Default Work Unit\attack\attack-02		31524
	890272576	gunshot-02	C:\Users\frase\Documents\GameDev\RatWars\RatWars_WwiseProject\.cache\Windows\SFX\gunshots\gunshot-02_A2498ED0.wem		\Actor-Mixer Hierarchy\Default Work Unit\gunshot\gunshot-02		24576
	906818641	hit	C:\Users\frase\Documents\GameDev\RatWars\RatWars_WwiseProject\.cache\Windows\SFX\hit_A2498ED0.wem		\Actor-Mixer Hierarchy\Default Work Unit\hit		53232
	1002471945	gunshot-01	C:\Users\frase\Documents\GameDev\RatWars\RatWars_WwiseProject\.cache\Windows\SFX\gunshots\gunshot-01_A2498ED0.wem		\Actor-Mixer Hierarchy\Default Work Unit\gunshot\gunshot-01		28032
	1068125542	footstep-07	C:\Users\frase\Documents\GameDev\RatWars\RatWars_WwiseProject\.cache\Windows\SFX\steps\footstep-07_A2498ED0.wem		\Actor-Mixer Hierarchy\Default Work Unit\footstep\footstep-07		9888

